Z,Emp,Cal,VDW,Cov,Tri,Met
1,25,53,120,38,null,null
2,120,31,140,32,null,null
3,145,167,182,134,null,152
4,105,112,153,90,85,112
5,85,87,192,82,73,null
6,70,67,170,77,60,null
7,65,56,155,75,54,null
8,60,48,152,73,53,null
9,50,42,147,71,53,null
10,160,38,154,69,null,null
11,180,190,227,154,null,186
12,150,145,173,130,127,160
13,125,118,184,118,111,143
14,110,111,210,111,102,null
15,100,98,180,106,94,null
16,100,88,180,102,95,null
17,100,79,175,99,93,null
18,71,71,188,97,96,null
19,220,243,275,196,null,227
20,180,194,231,174,133,197
21,160,184,211,144,114,162
22,140,176,null,136,108,147
23,135,171,null,125,106,134
24,140,166,null,127,103,128
25,140,161,null,139,103,127
26,140,156,null,125,102,126
27,135,152,null,126,96,125
28,135,149,163,121,101,124
29,135,145,140,138,120,128
30,135,142,139,131,null,134
31,130,136,187,126,121,135
32,125,125,211,122,114,null
33,115,114,185,119,106,null
34,115,103,190,116,107,null
35,115,94,185,114,110,null
36,null,88,202,110,108,null
37,235,265,303,211,null,248
38,200,219,249,192,139,215
39,180,212,null,162,124,180
40,155,206,null,148,121,160
41,145,198,null,137,116,146
42,145,190,null,145,113,139
43,135,183,null,156,110,136
44,130,178,null,126,103,134
45,135,173,null,135,106,134
46,140,169,163,131,112,137
47,160,165,172,153,137,144
48,155,161,158,148,null,151
49,155,156,193,144,146,167
50,145,145,217,141,132,null
51,145,133,206,138,127,null
52,140,123,206,135,121,null
53,140,115,198,133,125,null
54,null,108,216,130,122,null
55,260,298,343,225,null,265
56,215,253,268,198,149,222
57,195,195,null,169,139,187
58,185,158,null,null,131,182
59,185,247,null,null,128,182
60,185,206,null,null,null,181
61,185,205,null,null,null,183
62,185,238,null,null,null,180
63,185,231,null,null,null,180
64,180,233,null,null,132,180
65,175,225,null,null,null,177
66,175,228,null,null,null,178
67,175,226,null,null,null,176
68,175,226,null,null,null,176
69,175,222,null,null,null,176
70,175,222,null,null,null,176
71,175,217,null,160,131,174
72,155,208,null,150,122,159
73,145,200,null,138,119,146
74,135,193,null,146,115,139
75,135,188,null,159,110,137
76,130,185,null,128,109,135
77,135,180,null,137,107,136
78,135,177,175,128,110,139
79,135,174,166,144,123,144
80,150,171,155,149,null,151
81,190,156,196,148,150,170
82,180,154,202,147,137,null
83,160,143,207,146,135,null
84,190,135,197,null,129,null
85,null,127,202,null,138,null
86,null,120,220,145,133,null
87,null,null,348,null,null,null
88,215,null,283,null,159,null
89,195,null,null,null,140,null
90,180,null,null,null,136,179
91,180,null,null,null,129,163
92,175,null,186,null,118,156
93,175,null,null,null,116,155
94,175,null,null,null,null,159
