Z,E,EName,P,G,AWeight,ARadius,MolarVolume,Melting,Boiling,Negativity,Affinity,Valence,MaxIonNum,MaxIonization,STPDensity,ElectConduct,ThermConduct,SpecHeat
1,H,Hydrogen,1,1,1.00798,53,11212.19021,14.01,20.28,2.2,72.8,1,1,1312,0.0899,null,0.1805,14300
2,He,Helium,1,18,4.00260,31,22423.54062,0,4.22,null,0,0,2,5250.5,0.1785,null,0.1513,5193.1
3,Li,Lithium,2,1,6.94174,167,12.97521,453.69,1615,0.98,59.6,1,3,11815,535,11,85,3570
4,Be,Beryllium,2,2,9.01219,112,4.87672,1560,2743,1.57,0,2,4,21006.6,1848,25,190,1820
5,B,Boron,2,13,10.81402,87,4.39594,2348,4273,2.04,26.7,3,5,32826.7,2460,0,27,1030
6,C,Carbon,2,14,12.01114,67,5.31466,3823,4300,2.55,153.9,4,6,47277,2260,0.1,140,710
7,N,Nitrogen,2,15,14.00693,56,11196.58705,63.05,77.36,3.04,7,3,7,64360,1.251,null,0.026583,1040
8,O,Oxygen,2,16,15.99938,48,11196.20378,54.8,90.2,3.44,141,2,8,84078,1.429,null,0.02658,919
9,F,Fluorine,2,17,18.99841,42,11201.88974,53.5,85.03,3.98,328,1,9,106434,1.696,null,0.0277,824
10,Ne,Neon,2,18,20.17072,38,22411.91400,24.56,27.07,null,0,0,10,131432,0.9,null,0.0491,1030
11,Na,Sodium,3,1,22.98977,190,23.74977,370.87,1156,0.93,52.8,1,11,159076,968,21,140,1230
12,Mg,Magnesium,3,2,24.30955,145,13.98708,923,1363,1.31,0,2,12,189368,1738,23,160,1020
13,Al,Aluminium,3,13,26.98154,118,9.99316,933.47,2792,1.61,42.5,3,13,222316,2700,38,235,904
14,Si,Silicon,3,14,28.08561,111,12.05391,1687,3173,1.9,133.6,4,14,257923,2330,0.001,150,710
15,P,Phosphorus,3,15,30.97376,98,16.99054,317.3,553.6,2.19,72,5,15,296195,1823,10,0.236,769.7
16,S,Sulfur,3,16,32.05750,88,16.35587,388.36,717.87,2.58,200,6,16,337138,1960,0,0.205,705
17,Cl,Chlorine,3,17,35.45753,79,11032.21248,171.6,239.11,3.16,349,7,17,380760,3.214,0,0.0089,478.2
18,Ar,Argon,3,18,39.94766,71,22392.18700,83.8,87.3,null,0,2,18,427066,1.784,null,0.01772,520.33
19,K,Potassium,4,1,39.09811,243,45.67536,336.53,1032,0.82,48.4,1,19,476063,856,14,100,757
20,Ca,Calcium,4,2,40.07586,194,25.85539,1115,1757,1,2.37,2,20,527762,1550,29,200,631
21,Sc,Scandium,4,3,44.99592,184,15.07401,1814,3103,1.36,18.1,3,21,582163,2985,1.8,16,567
22,Ti,Titanium,4,4,47.87892,176,10.62324,1941,3560,1.54,7.6,4,22,639294,4507,2.5,22,520
23,V,Vanadium,4,5,50.94159,171,8.33741,2183,3680,1.63,50.6,5,23,699144,6110,5,31,489
24,Cr,Chromium,4,6,51.99763,166,7.28258,2180,2944,1.66,64.3,6,24,761733,7140,7.9,94,448
25,Mn,Manganese,4,7,54.93805,161,7.35449,1519,2334,1.55,0,7,25,827067,7470,0.62,7.8,479
26,Fe,Iron,4,8,55.84731,156,7.09262,1811,3134,1.83,15.7,6,26,895161,7874,10,80,449
