id,E,A,nBorF,Z,aBorF,E1,A1,nBorF1,Z1,aBorF1,E2,A2,nBorF2,Z2,aBorF2,MeV
1,Sr,84,b,38,b,Si,30,b,14,b,Cr,54,b,24,b,0.6856
2,Sr,84,b,38,b,S,34,b,16,b,Ti,50,b,22,b,0.6716
3,Zr,94,b,40,b,Ca,46,b,20,b,Ca,48,b,20,b,0.0820
4,Zr,96,b,40,b,Ca,48,b,20,b,Ca,48,b,20,b,3.2360
5,Mo,92,b,42,b,Si,30,b,14,b,Ni,62,b,28,b,3.8974
6,Mo,92,b,42,b,Si,28,b,14,b,Ni,64,b,28,b,1.3078
7,Mo,94,b,42,b,Si,30,b,14,b,Ni,64,b,28,b,2.8131
8,Mo,92,b,42,b,S,34,b,16,b,Fe,58,b,26,b,4.8000
9,Mo,92,b,42,b,Cl,37,f,17,b,Mn,55,f,25,b,2.1797
10,Mo,92,b,42,b,Ar,40,b,18,b,Cr,52,b,24,b,3.1596
11,Mo,92,b,42,b,Ar,38,b,18,b,Cr,54,b,24,b,4.3650
12,Mo,94,b,42,b,Ar,40,b,18,b,Cr,54,b,24,b,3.2388
13,Mo,92,b,42,b,K,41,f,19,b,V,51,f,23,b,0.4443
14,Mo,92,b,42,b,Ca,44,b,20,b,Ti,48,b,22,b,2.6566
15,Mo,94,b,42,b,Ca,46,b,20,b,Ti,48,b,22,b,2.8904
16,Mo,96,b,42,b,Ca,48,b,20,b,Ti,48,b,22,b,3.9486
17,Mo,95,f,42,f,Ca,46,b,20,b,Ti,49,f,22,f,3.8787
18,Mo,97,f,42,f,Ca,48,b,20,b,Ti,49,f,22,f,5.1418
19,Mo,92,b,42,b,Ca,42,b,20,b,Ti,50,b,22,b,2.6753
20,Mo,94,b,42,b,Ca,44,b,20,b,Ti,50,b,22,b,4.1545
21,Mo,96,b,42,b,Ca,46,b,20,b,Ti,50,b,22,b,5.6551
22,Mo,98,b,42,b,Ca,48,b,20,b,Ti,50,b,22,b,7.7845
23,Mo,95,f,42,f,Ti,47,f,22,f,Ca,48,b,20,b,1.4895
24,Ru,96,b,44,b,Mg,26,b,12,b,Ge,70,b,32,b,0.5887
25,Ru,96,b,44,b,Mg,24,b,12,b,Ge,72,b,32,b,0.4406
26,Ru,98,b,44,b,Mg,26,b,12,b,Ge,72,b,32,b,0.7703
27,Ru,99,f,44,f,Mg,26,b,12,b,Ge,73,f,32,f,0.1202
28,Ru,96,b,44,b,Al,27,f,13,b,Ga,69,f,31,b,0.3568
29,Ru,96,b,44,b,Si,30,b,14,b,Zn,66,b,30,b,7.2573
30,Ru,96,b,44,b,Si,29,f,14,f,Zn,67,f,30,f,3.6887
31,Ru,96,b,44,b,Si,28,b,14,b,Zn,68,b,30,b,5.4101
32,Ru,98,b,44,b,Si,30,b,14,b,Zn,68,b,30,b,6.4031
33,Ru,98,b,44,b,Si,28,b,14,b,Zn,70,b,30,b,3.0041
34,Ru,99,f,44,f,Si,29,f,14,f,Zn,70,b,30,b,3.9505
35,Ru,100,b,44,b,Si,30,b,14,b,Zn,70,b,30,b,3.6431
36,Ru,96,b,44,b,P,31,f,15,b,Cu,65,f,29,b,5.6365
37,Ru,96,b,44,b,S,34,b,16,b,Ni,62,b,28,b,10.6097
38,Ru,96,b,44,b,S,32,b,16,b,Ni,64,b,28,b,7.0486
39,Ru,98,b,44,b,S,34,b,16,b,Ni,64,b,28,b,9.0131
40,Ru,96,b,44,b,Cl,37,f,17,b,Co,59,f,27,b,7.9307
41,Ru,96,b,44,b,Ar,40,b,18,b,Fe,56,b,26,b,9.5795
42,Ru,96,b,44,b,Ar,38,b,18,b,Fe,58,b,26,b,10.8081
43,Ru,98,b,44,b,Ar,40,b,18,b,Fe,58,b,26,b,9.1696
44,Ru,96,b,44,b,K,41,f,19,b,Mn,55,f,25,b,7.1828
45,Ru,96,b,44,b,Ca,46,b,20,b,Cr,50,b,24,b,7.3215
46,Ru,98,b,44,b,Ca,48,b,20,b,Cr,50,b,24,b,6.6006
47,Ru,96,b,44,b,Ca,44,b,20,b,Cr,52,b,24,b,10.8016
48,Ru,98,b,44,b,Ca,46,b,20,b,Cr,52,b,24,b,10.5231
49,Ru,100,b,44,b,Ca,48,b,20,b,Cr,52,b,24,b,9.4481
50,Ru,96,b,44,b,Ca,43,f,20,f,Cr,53,f,24,f,7.6094
51,Ru,99,f,44,f,Ca,46,b,20,b,Cr,53,f,24,f,10.9357
52,Ru,101,f,44,f,Ca,48,b,20,b,Cr,53,f,24,f,10.3452
53,Ru,96,b,44,b,Ca,42,b,20,b,Cr,54,b,24,b,9.4016
54,Ru,98,b,44,b,Ca,44,b,20,b,Cr,54,b,24,b,10.3685
55,Ru,100,b,44,b,Ca,46,b,20,b,Cr,54,b,24,b,9.7360
56,Ru,102,b,44,b,Ca,48,b,20,b,Cr,54,b,24,b,11.6232
57,Ru,96,b,44,b,Sc,45,f,21,b,V,51,f,23,b,7.1753
