id,neutrino,E,A,nBorF,Z,aBorF,E1,A1,nBorF1,Z1,aBorF1,E2,A2,nBorF2,Z2,aBorF2,MeV
1,right,n*,1,f,0,f,nu,0,b,0,b,H,1,f,1,b,0.782453
2,left,K,40,b,19,f,nu,0,b,0,b,Ar,40,b,18,b,1.512748
3,right,K,40,b,19,f,nu,0,b,0,b,Ca,40,b,20,b,1.321788
4,left,V,50,b,23,f,nu,0,b,0,b,Ti,50,b,22,b,2.212300
5,right,V,50,b,23,f,nu,0,b,0,b,Cr,50,b,24,b,1.037682
6,right,Co,60,b,27,f,nu,0,b,0,b,Ni,60,b,28,b,2.815905
7,none,Sr,84,b,38,b,Si,30,b,14,b,Cr,54,b,24,b,0.685600
8,none,Sr,84,b,38,b,S,34,b,16,b,Ti,50,b,22,b,0.671600
9,right,Zr,91,f,40,f,Cl,37,f,17,b,Cr,54,b,24,b,0.442458
10,none,Zr,94,b,40,b,Ca,46,b,20,b,Ca,48,b,20,b,0.082000
11,none,Zr,96,b,40,b,Ca,48,b,20,b,Ca,48,b,20,b,3.236000
12,right,Nb,93,f,41,b,Si,29,f,14,f,Ni,64,b,28,b,1.462444
13,right,Nb,93,f,41,b,Ar,40,b,18,b,Cr,53,f,24,f,2.780508
14,right,Nb,93,f,41,b,Ca,43,f,20,f,Ti,50,b,22,b,2.282159
15,right,Nb,93,f,41,b,Ca,44,b,20,b,Ti,49,f,22,f,2.480567
16,right,Nb,93,f,41,b,Ca,46,b,20,b,Ti,47,f,22,f,0.533744
17,none,Mo,92,b,42,b,Si,28,b,14,b,Ni,64,b,28,b,1.307800
18,right,Mo,92,b,42,b,Si,29,f,14,f,Cu,63,f,29,b,0.190023
19,none,Mo,92,b,42,b,Si,30,b,14,b,Ni,62,b,28,b,3.897400
20,right,Mo,92,b,42,b,P,31,f,15,b,Ni,61,f,28,f,1.376746
21,right,Mo,92,b,42,b,S,32,b,16,b,Co,60,b,27,f,0.381911
22,right,Mo,92,b,42,b,S,33,f,16,f,Co,59,f,27,b,1.526717
23,none,Mo,92,b,42,b,S,34,b,16,b,Fe,58,b,26,b,4.800000
24,right,Mo,92,b,42,b,Cl,35,f,17,b,Fe,57,f,26,f,1.901177
25,none,Mo,92,b,42,b,Cl,37,f,17,b,Mn,55,f,25,b,2.179700
26,none,Mo,92,b,42,b,Ar,38,b,18,b,Cr,54,b,24,b,4.365000
27,none,Mo,92,b,42,b,Ar,40,b,18,b,Cr,52,b,24,b,3.159600
28,right,Mo,92,b,42,b,K,39,f,19,b,Cr,53,f,24,f,1.793124
29,right,Mo,92,b,42,b,K,40,b,19,f,Cr,52,b,24,b,1.646880
30,none,Mo,92,b,42,b,K,41,f,19,b,V,51,f,23,b,0.444300
31,none,Mo,92,b,42,b,Ca,42,b,20,b,Ti,50,b,22,b,2.675300
32,right,Mo,92,b,42,b,Ca,42,b,20,b,V,50,b,23,f,0.462951
33,none,Mo,92,b,42,b,Ca,44,b,20,b,Ti,48,b,22,b,2.656600
34,right,Mo,94,b,42,b,Si,29,f,14,f,Cu,65,f,29,b,0.431280
35,none,Mo,94,b,42,b,Si,30,b,14,b,Ni,64,b,28,b,2.813100
36,right,Mo,94,b,42,b,S,34,b,16,b,Co,60,b,27,f,2.858753
37,right,Mo,94,b,42,b,Cl,37,f,17,b,Fe,57,f,26,f,3.213653
38,none,Mo,94,b,42,b,Ar,40,b,18,b,Cr,54,b,24,b,3.238800
39,right,Mo,94,b,42,b,K,40,b,19,f,Cr,54,b,24,b,1.726057
40,right,Mo,94,b,42,b,K,41,f,19,b,Cr,53,f,24,f,2.099586
41,right,Mo,94,b,42,b,Ca,43,f,20,f,V,51,f,23,b,1.846219
42,none,Mo,94,b,42,b,Ca,44,b,20,b,Ti,50,b,22,b,4.154500
43,right,Mo,94,b,42,b,Ca,44,b,20,b,V,50,b,23,f,1.942163
44,none,Mo,94,b,42,b,Ca,46,b,20,b,Ti,48,b,22,b,2.890400
45,right,Mo,94,b,42,b,Sc,45,f,21,b,Ti,49,f,22,f,0.888643
46,right,Mo,95,f,42,f,Si,30,b,14,b,Cu,65,f,29,b,3.887123
47,right,Mo,95,f,42,f,P,31,f,15,b,Ni,64,b,28,b,3.724111
48,right,Mo,95,f,42,f,Cl,37,f,17,b,Fe,58,b,26,b,6.103147
49,right,Mo,95,f,42,f,Ar,40,b,18,b,Mn,55,f,25,b,4.920150
50,right,Mo,95,f,42,f,K,41,f,19,b,Cr,54,b,24,b,4.663057
51,right,Mo,95,f,42,f,Ca,44,b,20,b,V,51,f,23,b,5.823699
52,none,Mo,95,f,42,f,Ca,46,b,20,b,Ti,49,f,22,f,3.878700
53,right,Mo,95,f,42,f,Sc,45,f,21,b,Ti,50,b,22,b,4.667715
54,none,Mo,95,f,42,f,Ti,47,f,22,f,Ca,48,b,20,b,1.489500
55,none,Mo,96,b,42,b,Ca,46,b,20,b,Ti,50,b,22,b,5.655100
56,right,Mo,96,b,42,b,Ca,46,b,20,b,V,50,b,23,f,3.442800
57,none,Mo,96,b,42,b,Ca,48,b,20,b,Ti,48,b,22,b,3.948600
58,right,Mo,97,f,42,f,Ca,46,b,20,b,V,51,f,23,b,7.529265
59,none,Mo,97,f,42,f,Ca,48,b,20,b,Ti,49,f,22,f,5.141800
60,none,Mo,98,b,42,b,Ca,48,b,20,b,Ti,50,b,22,b,7.784500
61,right,Mo,98,b,42,b,Ca,48,b,20,b,V,50,b,23,f,5.572196
62,none,Ru,96,b,44,b,Mg,24,b,12,b,Ge,72,b,32,b,0.440600
63,none,Ru,96,b,44,b,Mg,26,b,12,b,Ge,70,b,32,b,0.588700
64,none,Ru,96,b,44,b,Al,27,f,13,b,Ga,69,f,31,b,0.356800
65,none,Ru,96,b,44,b,Si,28,b,14,b,Zn,68,b,30,b,5.410100
66,none,Ru,96,b,44,b,Si,29,f,14,f,Zn,67,f,30,f,3.688700
67,none,Ru,96,b,44,b,Si,30,b,14,b,Zn,66,b,30,b,7.257300
