E1,A1,Z1,E2,A2,Z2,E,A,Z,MeV
Н,1.0,1.0,D,2.0,1.0,He,3.0,2.0,5.493020707699543
D,2.0,1.0,D,2.0,1.0,Не,4.0,2.0,23.8471804541
Н,1.0,1.0,Ag,107.0,47.0,Cd,108.0,48.0,8.19249060950824
Н,1.0,1.0,Ag,109.0,47.0,Cd,110.0,48.0,8.900426125503145
D,2.0,1.0,Ag,109.0,47.0,Cd,111.0,48.0,13.312913677204051
Не,4.0,2.0,Ag,109.0,47.0,In,113.0,49.0,2.8159066643129336
Li,7.0,3.0,Ag,107.0,47.0,Sn,114.0,50.0,13.986383911513258
Li,6.0,3.0,Ag,109.0,47.0,Sn,115.0,50.0,15.17962785360578
Li,7.0,3.0,Ag,109.0,47.0,Sn,116.0,50.0,17.321132789496914
B,11.0,5.0,Ag,109.0,47.0,Te,120.0,52.0,8.844536479504313
Н,1.0,1.0,Al,27.0,13.0,Si,28.0,14.0,11.581266145298287
D,2.0,1.0,Al,27.0,13.0,Si,29.0,14.0,17.834386038601224
Не,4.0,2.0,Al,27.0,13.0,P,31.0,15.0,9.664251287496882
Li,6.0,3.0,Al,27.0,13.0,S,33.0,16.0,23.473651320004137
Li,7.0,3.0,Al,27.0,13.0,S,34.0,16.0,27.64208741749826
B,11.0,5.0,Al,27.0,13.0,Ar,38.0,18.0,26.18895662149589
C,12.0,6.0,Al,27.0,13.0,K,39.0,19.0,16.600156356100342
C,13.0,6.0,Al,27.0,13.0,K,40.0,19.0,19.450528302098974
N,15.0,7.0,Al,27.0,13.0,Ca,42.0,20.0,21.438336711507873
O,18.0,8.0,Al,27.0,13.0,Sc,45.0,21.0,23.078697821598325
F,19.0,9.0,Al,27.0,13.0,Ti,46.0,22.0,25.436309388700465
Na,23.0,11.0,Al,27.0,13.0,Cr,50.0,24.0,23.526746483701572
Al,27.0,13.0,Al,27.0,13.0,Fe,54.0,26.0,21.842605150894087
Н,1.0,1.0,Ar,38.0,18.0,K,39.0,19.0,6.36769366759836
D,2.0,1.0,Ar,38.0,18.0,K,40.0,19.0,11.94082286790217
Н,1.0,1.0,Ar,40.0,18.0,K,41.0,19.0,7.80033159339655
Не,4.0,2.0,Ar,36.0,18.0,Ca,40.0,20.0,7.043958384201687
Не,4.0,2.0,Ar,38.0,18.0,Ca,42.0,20.0,6.241010470002948
He,3.0,2.0,Ar,40.0,18.0,Ca,43.0,20.0,18.28895515939803
Не,4.0,2.0,Ar,40.0,18.0,Ca,44.0,20.0,8.846399467700394
Li,7.0,3.0,Ar,38.0,18.0,Sc,45.0,21.0,21.248311915092927
Be,9.0,4.0,Ar,38.0,18.0,Ti,47.0,22.0,21.56688289730664
Be,9.0,4.0,Ar,40.0,18.0,Ti,49.0,22.0,24.873686952298158
B,10.0,5.0,Ar,40.0,18.0,V,50.0,23.0,26.229010867798934
B,11.0,5.0,Ar,40.0,18.0,V,51.0,23.0,25.812633005101816
C,12.0,6.0,Ar,38.0,18.0,Cr,50.0,24.0,15.531732623399876
C,12.0,6.0,Ar,40.0,18.0,Cr,52.0,24.0,20.37177596699621
C,13.0,6.0,Ar,40.0,18.0,Cr,53.0,24.0,23.36839248670003
N,15.0,7.0,Ar,40.0,18.0,Mn,55.0,25.0,22.7638528157986
O,18.0,8.0,Ar,36.0,18.0,Fe,54.0,26.0,25.231380686695047
O,16.0,8.0,Ar,38.0,18.0,Fe,54.0,26.0,16.784592187897942
O,18.0,8.0,Ar,38.0,18.0,Fe,56.0,26.0,25.106560477295716
O,16.0,8.0,Ar,40.0,18.0,Fe,56.0,26.0,20.834728534697206
O,17.0,8.0,Ar,40.0,18.0,Fe,57.0,26.0,24.33435186839779
O,18.0,8.0,Ar,40.0,18.0,Fe,58.0,26.0,26.335201195193804
