id,neutrino,id_sub,E1,A1,nBorF1,Z1,aBorF1,E2,A2,nBorF2,Z2,aBorF2,E,A,nBorF,Z,aBorF,MeV
1,right,1,nu,0,b,0,b,Rb,87,f,37,b,Sr,87,f,38,f,0.270131
2,right,2,nu,0,b,0,b,Cd,113,f,48,f,In,113,f,49,b,0.307391
3,right,3,nu,0,b,0,b,In,115,f,49,b,Sn,115,f,50,f,0.503005
4,right,4,nu,0,b,0,b,Ta,180,b,73,f,W,180,b,74,b,0.503005
5,left,1,H,1,f,1,b,H,1,f,1,b,D,2,b,1,f,1.441955
6,none,1,H,1,f,1,b,D,2,b,1,f,He,3,f,2,f,5.493000
7,left,2,H,1,f,1,b,He,3,f,2,f,He,4,b,2,b,19.796115
8,left,3,H,1,f,1,b,Li,6,b,3,f,Li,7,f,3,b,6.470160
9,none,102,H,1,f,1,b,Be,9,f,4,f,B,10,b,5,f,6.587500
10,left,4,H,1,f,1,b,B,10,b,5,f,B,11,f,5,b,10.673993
11,none,74,H,1,f,1,b,B,11,f,5,b,C,12,b,6,b,15.956500
12,left,5,H,1,f,1,b,C,12,b,6,b,C,13,f,6,f,4.164712
13,none,128,H,1,f,1,b,C,13,f,6,f,N,14,b,7,f,7.393300
14,left,6,H,1,f,1,b,N,14,b,7,f,N,15,f,7,b,10.208246
15,none,708,H,1,f,1,b,N,15,f,7,b,O,16,b,8,b,12.126200
16,left,7,H,1,f,1,b,O,16,b,8,b,O,17,f,8,f,3.358970
17,left,9,H,1,f,1,b,O,17,f,8,f,O,18,b,8,b,7.264724
18,none,821,H,1,f,1,b,O,18,b,8,b,F,19,f,9,b,7.992200
19,none,373,H,1,f,1,b,F,19,f,9,b,Ne,20,b,10,b,12.843400
20,left,10,H,1,f,1,b,Ne,20,b,10,b,Ne,21,f,10,f,5.978331
21,left,12,H,1,f,1,b,Ne,21,f,10,f,Ne,22,b,10,b,9.584145
22,none,759,H,1,f,1,b,Ne,22,b,10,b,Na,23,f,11,b,8.790500
23,none,725,H,1,f,1,b,Na,23,f,11,b,Mg,24,b,12,b,11.693000
24,left,13,H,1,f,1,b,Mg,24,b,12,b,Mg,25,f,12,f,6.548406
25,left,15,H,1,f,1,b,Mg,25,f,12,f,Mg,26,b,12,b,10.315368
26,none,626,H,1,f,1,b,Mg,26,b,12,b,Al,27,f,13,b,8.272600
27,none,11,H,1,f,1,b,Al,27,f,13,b,Si,28,b,14,b,11.581300
28,left,16,H,1,f,1,b,Si,28,b,14,b,Si,29,f,14,f,7.695075
29,left,18,H,1,f,1,b,Si,29,f,14,f,Si,30,b,14,b,9.831922
30,none,1045,H,1,f,1,b,Si,30,b,14,b,P,31,f,15,b,7.287100
31,none,855,H,1,f,1,b,P,31,f,15,b,S,32,b,16,b,8.862200
32,left,19,H,1,f,1,b,S,32,b,16,b,S,33,f,16,f,7.859949
33,left,21,H,1,f,1,b,S,33,f,16,f,S,34,b,16,b,10.638596
34,none,956,H,1,f,1,b,S,34,b,16,b,Cl,35,f,17,b,6.366800
35,none,254,H,1,f,1,b,Cl,35,f,17,b,Ar,36,b,18,b,8.506400
36,none,255,H,1,f,1,b,Cl,37,f,17,b,Ar,38,b,18,b,10.242700
37,none,24,H,1,f,1,b,Ar,38,b,18,b,K,39,f,19,b,6.367700
38,none,26,H,1,f,1,b,Ar,40,b,18,b,K,41,f,19,b,7.800300
39,left,25,H,1,f,1,b,K,39,f,19,b,K,40,b,19,f,7.015084
40,none,532,H,1,f,1,b,K,39,f,19,b,Ca,40,b,20,b,8.336900
41,left,27,H,1,f,1,b,K,40,b,19,f,K,41,f,19,b,9.313080
42,none,534,H,1,f,1,b,K,41,f,19,b,Ca,42,b,20,b,10.276200
43,left,29,H,1,f,1,b,Ca,42,b,20,b,Ca,43,f,20,f,7.147356
44,left,31,H,1,f,1,b,Ca,43,f,20,f,Ca,44,b,20,b,10.353559
45,none,143,H,1,f,1,b,Ca,44,b,20,b,Sc,45,f,21,b,6.889300
46,right,14,H,1,f,1,b,Ca,46,b,20,b,Ti,47,f,22,f,9.087654
47,right,16,H,1,f,1,b,Ca,48,b,20,b,Ti,49,f,22,f,11.476937
48,none,994,H,1,f,1,b,Sc,45,f,21,b,Ti,46,b,22,b,10.349800
49,left,34,H,1,f,1,b,Ti,46,b,22,b,Ti,47,f,22,f,8.104001
50,left,36,H,1,f,1,b,Ti,47,f,22,f,Ti,48,b,22,b,10.837936
51,left,38,H,1,f,1,b,Ti,48,b,22,b,Ti,49,f,22,f,7.364394
52,left,40,H,1,f,1,b,Ti,49,f,22,f,Ti,50,b,22,b,10.155151
53,none,1187,H,1,f,1,b,Ti,49,f,22,f,V,50,b,23,f,7.942900
54,right,19,H,1,f,1,b,Ti,49,f,22,f,Cr,50,b,24,b,8.980533
55,none,1189,H,1,f,1,b,Ti,50,b,22,b,V,51,f,23,b,8.045300
56,left,41,H,1,f,1,b,V,50,b,23,f,V,51,f,23,b,10.257615
57,none,1248,H,1,f,1,b,V,51,f,23,b,Cr,52,b,24,b,10.515600
58,left,43,H,1,f,1,b,Cr,52,b,24,b,Cr,53,f,24,f,7.161329
59,left,45,H,1,f,1,b,Cr,53,f,24,f,Cr,54,b,24,b,8.939551
60,right,22,H,1,f,1,b,Cr,53,f,24,f,Fe,54,b,26,b,8.248378
61,none,293,H,1,f,1,b,Cr,54,b,24,b,Mn,55,f,25,b,8.057400
62,none,664,H,1,f,1,b,Mn,55,f,25,b,Fe,56,b,26,b,10.197100
63,left,47,H,1,f,1,b,Fe,56,b,26,b,Fe,57,f,26,f,6.858593
64,left,49,H,1,f,1,b,Fe,57,f,26,f,Fe,58,b,26,b,9.265574
65,right,25,H,1,f,1,b,Fe,57,f,26,f,Ni,58,b,28,b,7.337377
66,none,387,H,1,f,1,b,Fe,58,b,26,b,Co,59,f,27,b,7.365300
67,left,50,H,1,f,1,b,Co,59,f,27,b,Co,60,b,27,f,6.715143
68,none,277,H,1,f,1,b,Co,59,f,27,b,Ni,60,b,28,b,9.531000
69,none,284,H,1,f,1,b,Co,60,b,27,f,Ni,61,f,28,f,9.857100
70,left,52,H,1,f,1,b,Ni,60,b,28,b,Ni,61,f,28,f,7.041166
71,left,54,H,1,f,1,b,Ni,61,f,28,f,Ni,62,b,28,b,9.807703
72,none,793,H,1,f,1,b,Ni,62,b,28,b,Cu,63,f,29,b,6.124600
73,none,794,H,1,f,1,b,Ni,64,b,28,b,Cu,65,f,29,b,7.450100
74,none,332,H,1,f,1,b,Cu,63,f,29,b,Zn,64,b,30,b,7.708100
75,none,333,H,1,f,1,b,Cu,65,f,29,b,Zn,66,b,30,b,8.907900
76,left,58,H,1,f,1,b,Zn,66,b,30,b,Zn,67,f,30,f,6.263368
77,left,60,H,1,f,1,b,Zn,67,f,30,f,Zn,68,b,30,b,9.416476
78,none,1322,H,1,f,1,b,Zn,68,b,30,b,Ga,69,f,31,b,6.527900
79,none,1323,H,1,f,1,b,Zn,70,b,30,b,Ga,71,f,31,b,7.762100
80,none,412,H,1,f,1,b,Ga,69,f,31,b,Ge,70,b,32,b,8.504500
81,none,413,H,1,f,1,b,Ga,71,f,31,b,Ge,72,b,32,b,9.858000
82,left,64,H,1,f,1,b,Ge,72,b,32,b,Ge,73,f,32,f,6.098494
83,left,66,H,1,f,1,b,Ge,73,f,32,f,Ge,74,b,32,b,9.347545
84,right,32,H,1,f,1,b,Ge,73,f,32,f,Se,74,b,34,b,8.136599
85,none,442,H,1,f,1,b,Ge,74,b,32,b,As,75,f,33,b,6.888400
86,right,34,H,1,f,1,b,Ge,76,b,32,b,Se,77,f,34,f,8.617250
87,none,61,H,1,f,1,b,As,75,f,33,b,Se,76,b,34,b,9.478900
88,left,69,H,1,f,1,b,Se,76,b,34,b,Se,77,f,34,f,6.632240
89,left,71,H,1,f,1,b,Se,77,f,34,f,Se,78,b,34,b,9.697787
90,right,37,H,1,f,1,b,Se,77,f,34,f,Kr,78,b,36,b,6.884671
91,none,1002,H,1,f,1,b,Se,78,b,34,b,Br,79,f,35,b,6.357400
92,none,1003,H,1,f,1,b,Se,80,b,34,b,Br,81,f,35,b,7.445400
93,none,108,H,1,f,1,b,Br,79,f,35,b,Kr,80,b,36,b,9.119300
94,none,109,H,1,f,1,b,Br,81,f,35,b,Kr,82,b,36,b,9.953900
95,left,76,H,1,f,1,b,Kr,82,b,36,b,Kr,83,f,36,f,6.685335
96,left,78,H,1,f,1,b,Kr,83,f,36,f,Kr,84,b,36,b,9.735978
97,right,41,H,1,f,1,b,Kr,83,f,36,f,Sr,84,b,38,b,7.992217
98,none,556,H,1,f,1,b,Kr,84,b,36,b,Rb,85,f,37,b,7.097100
99,none,557,H,1,f,1,b,Kr,86,b,36,b,Rb,87,f,37,b,8.627500
100,right,43,H,1,f,1,b,Kr,86,b,36,b,Sr,87,f,38,f,8.897630
101,none,901,H,1,f,1,b,Rb,85,f,37,b,Sr,86,b,38,b,9.571100
102,none,903,H,1,f,1,b,Rb,87,f,37,b,Sr,88,b,38,b,10.614400
103,left,82,H,1,f,1,b,Sr,86,b,38,b,Sr,87,f,38,f,7.633596
104,left,84,H,1,f,1,b,Sr,87,f,38,f,Sr,88,b,38,b,10.344244
105,none,1122,H,1,f,1,b,Sr,88,b,38,b,Y,89,f,39,b,7.456600
106,right,47,H,1,f,1,b,Sr,90,b,38,b,Zr,91,f,40,f,9.226447
107,none,1300,H,1,f,1,b,Y,89,f,39,b,Zr,90,b,40,b,8.322900
108,left,86,H,1,f,1,b,Zr,90,b,40,b,Zr,91,f,40,f,6.422654
109,left,88,H,1,f,1,b,Zr,91,f,40,f,Zr,92,b,40,b,7.903729
110,right,50,H,1,f,1,b,Zr,91,f,40,f,Mo,92,b,42,b,6.320185
111,none,1361,H,1,f,1,b,Zr,92,b,40,b,Nb,93,f,41,b,5.956900
112,right,52,H,1,f,1,b,Zr,94,b,40,b,Mo,95,f,42,f,7.680167
113,right,54,H,1,f,1,b,Zr,96,b,40,b,Mo,97,f,42,f,9.571100
114,none,740,H,1,f,1,b,Nb,93,f,41,b,Mo,94,b,42,b,8.481300
115,left,92,H,1,f,1,b,Mo,94,b,42,b,Mo,95,f,42,f,6.376079
116,left,94,H,1,f,1,b,Mo,95,f,42,f,Mo,96,b,42,b,8.378791
117,right,57,H,1,f,1,b,Mo,95,f,42,f,Ru,96,b,44,b,5.537730
118,left,96,H,1,f,1,b,Mo,96,b,42,b,Mo,97,f,42,f,6.171150
119,left,98,H,1,f,1,b,Mo,97,f,42,f,Mo,98,b,42,b,7.512502
120,right,59,H,1,f,1,b,Mo,97,f,42,f,Ru,98,b,44,b,7.521813
121,right,61,H,1,f,1,b,Mo,98,b,42,b,Ru,99,f,44,f,6.757988
122,right,63,H,1,f,1,b,Mo,100,b,42,b,Ru,101,f,44,f,10.502594
123,left,101,H,1,f,1,b,Ru,98,b,44,b,Ru,99,f,44,f,6.748677
124,left,103,H,1,f,1,b,Ru,99,f,44,f,Ru,100,b,44,b,10.139315
125,left,105,H,1,f,1,b,Ru,100,b,44,b,Ru,101,f,44,f,6.264300
126,left,107,H,1,f,1,b,Ru,101,f,44,f,Ru,102,b,44,b,7.661541
127,right,66,H,1,f,1,b,Ru,101,f,44,f,Pd,102,b,46,b,6.525114
128,none,931,H,1,f,1,b,Ru,102,b,44,b,Rh,103,f,45,b,6.282900
129,right,68,H,1,f,1,b,Ru,104,b,44,b,Pd,105,f,46,f,8.117969
130,none,925,H,1,f,1,b,Rh,103,f,45,b,Pd,104,b,46,b,8.444000
131,left,110,H,1,f,1,b,Pd,104,b,46,b,Pd,105,f,46,f,6.282930
132,left,112,H,1,f,1,b,Pd,105,f,46,f,Pd,106,b,46,b,8.630295
133,right,71,H,1,f,1,b,Pd,105,f,46,f,Cd,106,b,48,b,6.068682
134,none,868,H,1,f,1,b,Pd,106,b,46,b,Ag,107,f,47,b,5.640200
135,none,869,H,1,f,1,b,Pd,108,b,46,b,Ag,109,f,47,b,6.562400
136,right,74,H,1,f,1,b,Pd,110,b,46,b,Cd,111,f,48,f,7.279624
137,none,3,H,1,f,1,b,Ag,107,f,47,b,Cd,108,b,48,b,8.192500
138,none,4,H,1,f,1,b,Ag,109,f,47,b,Cd,110,b,48,b,8.900400
139,left,118,H,1,f,1,b,Cd,110,b,48,b,Cd,111,f,48,f,5.854442
140,left,120,H,1,f,1,b,Cd,111,f,48,f,Cd,112,b,48,b,8.844538
141,right,77,H,1,f,1,b,Cd,111,f,48,f,Sn,112,b,50,b,6.888397
142,left,122,H,1,f,1,b,Cd,112,b,48,b,Cd,113,f,48,f,5.640199
143,none,223,H,1,f,1,b,Cd,112,b,48,b,In,113,f,49,b,5.947600
144,left,124,H,1,f,1,b,Cd,113,f,48,f,Cd,114,b,48,b,8.257697
145,right,79,H,1,f,1,b,Cd,113,f,48,f,Sn,114,b,50,b,6.031422
146,none,225,H,1,f,1,b,Cd,114,b,48,b,In,115,f,49,b,6.823200
147,right,81,H,1,f,1,b,Cd,114,b,48,b,Sn,115,f,50,f,7.326199
148,right,83,H,1,f,1,b,Cd,116,b,48,b,Sn,117,f,50,f,9.105353
149,none,518,H,1,f,1,b,In,113,f,49,b,Sn,114,b,50,b,5.724000
150,none,520,H,1,f,1,b,In,115,f,49,b,Sn,116,b,50,b,9.114700
151,left,128,H,1,f,1,b,Sn,114,b,50,b,Sn,115,f,50,f,9.552474
152,left,130,H,1,f,1,b,Sn,115,f,50,f,Sn,116,b,50,b,8.611665
153,left,132,H,1,f,1,b,Sn,116,b,50,b,Sn,117,f,50,f,6.404024
154,left,134,H,1,f,1,b,Sn,117,f,50,f,Sn,118,b,50,b,8.471941
155,left,136,H,1,f,1,b,Sn,118,b,50,b,Sn,119,f,50,f,5.798553
156,left,138,H,1,f,1,b,Sn,119,f,50,f,Sn,120,b,50,b,8.462626
