id,A,Z,nBorF,aBorF,E,AMU,BE,BEN,SUS,LHL,RDM,DEMeV,pcaNCrust,ppmNCrust,ppmNSolar,SP,MD,EQ,RCPT,Inova_MHz,MagGR
1,0,-1,b,f,e-,0.00054860000,0.00000000000,0.00000000000,SPN,50.0000,null,0.0000,100.0000,null,null,null,null,null,null,null,null
2,1,0,f,f,n*,1.00866491582,0.00000000000,0.00000000000,UPN,-4.6070,null,0.0000,100.0000,null,null,1/2+,-1.9130427000,null,null,null,-18.32471830
3,1,1,f,b,H,1.00782503224,0.00000000000,0.00000000000,SPN,50.0000,null,0.0000,99.9850,1399.79,705700,1/2+,2.7928473510,null,5700.0000,400.000,26.75222080
4,2,1,b,f,D,2.01410177811,2.22411411070,1.11205705535,SPN,50.0000,null,0.0000,0.0150,0.21,23,1+,0.8574382310,0.0028600000,0.0082,61.403,4.10662920
5,3,1,f,b,T,3.01604928199,8.48111224352,2.82703741451,SYN,1.0906,B-,0.0186,0.0000,0,null,1/2+,2.9789624600,null,6897.0000,426.656,28.53498650
6,3,2,f,f,He,3.01602932265,7.71737084564,2.57245694855,SPN,50.0000,null,0.0000,0.0001,null,35,1/2+,-2.1276253100,null,null,null,-20.37894730
7,4,2,b,b,He,4.00260325413,28.29476455561,7.07369113890,SPN,50.0000,null,0.0000,99.9999,null,275200,null,null,null,null,null,null
8,6,3,b,f,Li,6.01512288742,31.99263760101,5.33210626683,SPN,50.0000,null,0.0000,7.4200,1.484,null,1+,0.8220430000,-0.0008060000,3.5800,58.864,3.93712700
9,7,3,f,b,Li,7.01600343666,39.24349793516,5.60621399074,SPN,50.0000,null,0.0000,92.5800,18.516,null,3/2-,3.2564070000,-0.0400000000,1540.0000,155.455,10.39770400
10,9,4,f,f,Be,9.01218306600,58.16199207030,6.46244356337,SPN,50.0000,null,0.0000,100.0000,2.8,null,3/2-,-1.1774300000,0.0529000000,78.8000,56.207,-3.75066000
11,10,5,b,f,B,10.01293686200,64.74858891927,6.47485889193,SPN,50.0000,null,0.0000,19.6000,1.96,null,3+,1.8004636000,0.0845000000,22.0000,42.975,2.87467955
12,11,5,f,b,B,11.00930516600,76.20258012611,6.92750728419,SPN,50.0000,null,0.0000,80.4000,8.04,null,3/2-,2.6883780000,0.0405900000,754.0000,128.286,8.58470700
13,12,6,b,b,C,12.00000000000,92.15904307956,7.67992025663,SPN,50.0000,null,0.0000,98.8900,197.78,3032,null,null,null,null,null,null
14,13,6,f,f,C,13.00335483521,97.10512005305,7.46962461947,SPN,50.0000,null,0.0000,1.1100,2.22,37,1/2-,0.7023690000,null,1.0000,100.589,6.72828600
15,14,6,b,b,C,14.00324198843,105.28132315081,7.52009451077,UPN,3.7581,B-,0.1565,0.0000,0,null,3-,0.8200000000,null,null,null,null
16,14,7,b,f,N,14.00307400446,104.65546585700,7.47539041836,SPN,50.0000,null,0.0000,99.6300,18.9297,1105,1+,0.4035730000,0.0204400000,null,null,1.93377980
17,15,7,f,b,N,15.00010889894,115.48853180891,7.69923545393,SPN,50.0000,null,0.0000,0.3700,0.0703,null,1/2-,-0.2830569000,null,0.0220,40.547,-2.71261890
18,16,8,b,b,O,15.99491461960,127.61572713267,7.97598294579,SPN,50.0000,null,0.0000,99.7590,459888.99,9592,null,null,null,null,null,null
19,17,8,f,f,O,16.99913175664,131.75857483770,7.75050440222,SPN,50.0000,null,0.0000,0.0370,170.57,null,5/2+,-1.8935430000,-0.0256000000,0.0610,50.227,-3.62806000
20,18,8,b,b,O,17.99915961284,139.80371390688,7.76687299483,SPN,50.0000,null,0.0000,0.2040,940.44,null,null,null,null,null,null,null
21,19,9,f,b,F,18.99840316288,147.79709630986,7.77879454262,SPN,50.0000,null,0.0000,100.0000,585,null,1/2+,2.6283210000,null,4730.0000,376.345,25.16233000
22,20,10,b,b,Ne,19.99244017619,160.64033817431,8.03201690872,SPN,50.0000,null,0.0000,90.9200,null,1548,null,null,null,null,null,null
23,21,10,f,f,Ne,20.99384668500,167.40127014932,7.97148905473,SPN,50.0000,null,0.0000,0.2570,null,null,3/2+,-0.6617000000,0.1020000000,null,null,-2.11308100
24,22,10,b,b,Ne,21.99138510900,177.76530120658,8.08024096394,SPN,50.0000,null,0.0000,8.8200,null,208,null,null,null,null,null,null
25,23,11,f,b,Na,22.98976928199,186.55918846204,8.11126906357,SPN,50.0000,null,0.0000,100.0000,23600,33,3/2+,2.2175000000,0.1040000000,525.0000,105.808,7.08085160
26,24,12,b,b,Mg,23.98504169700,198.25166064327,8.26048586014,SPN,50.0000,null,0.0000,78.7000,18337.1,513,null,null,null,null,null,null
27,25,12,f,f,Mg,24.98583696400,205.58196090073,8.22327843603,SPN,50.0000,null,0.0000,10.1300,2360.29,69,5/2+,-0.8553300000,0.1990000000,null,null,-1.63884000
