E1,A1,Z1,E2,A2,Z2,E3,A3,Z3,E4,A4,Z4,MeV
D,2.0,1.0,He,3.0,2.0,Н,1.0,1.0,Не,4.0,2.0,18.3541597464
Н,1.0,1.0,Li,6.0,3.0,He,3.0,2.0,Не,4.0,2.0,4.022191523800757
D,2.0,1.0,Li,6.0,3.0,Н,1.0,1.0,Li,7.0,3.0,5.028205151800648
D,2.0,1.0,Li,6.0,3.0,Не,4.0,2.0,Не,4.0,2.0,22.376351270200757
Н,1.0,1.0,Li,7.0,3.0,Не,4.0,2.0,Не,4.0,2.0,17.34814611840011
Н,1.0,1.0,Be,9.0,4.0,Не,4.0,2.0,Li,6.0,3.0,2.125669536197165
D,2.0,1.0,Be,9.0,4.0,Не,4.0,2.0,Li,7.0,3.0,7.153874687999632
D,2.0,1.0,B,10.0,5.0,Н,1.0,1.0,B,11.0,5.0,9.232038025100337
D,2.0,1.0,B,11.0,5.0,Не,4.0,2.0,Be,9.0,4.0,8.02761615379859
D,2.0,1.0,C,12.0,6.0,Н,1.0,1.0,C,13.0,6.0,2.7227572543015413
D,2.0,1.0,C,13.0,6.0,Не,4.0,2.0,B,11.0,5.0,5.167929266799547
D,2.0,1.0,N,14.0,7.0,Н,1.0,1.0,N,15.0,7.0,8.766290975099764
D,2.0,1.0,N,14.0,7.0,Не,4.0,2.0,C,12.0,6.0,13.731154528099069
Н,1.0,1.0,N,15.0,7.0,Не,4.0,2.0,C,12.0,6.0,4.964863552999304
D,2.0,1.0,N,15.0,7.0,Не,4.0,2.0,C,13.0,6.0,7.687620807302665
D,2.0,1.0,O,16.0,8.0,Н,1.0,1.0,O,17.0,8.0,1.917014857797767
D,2.0,1.0,O,16.0,8.0,Не,4.0,2.0,N,14.0,7.0,2.954699285201059
Н,1.0,1.0,O,17.0,8.0,Не,4.0,2.0,N,14.0,7.0,1.037684427403292
D,2.0,1.0,O,17.0,8.0,Н,1.0,1.0,O,18.0,8.0,5.822769619102473
D,2.0,1.0,O,17.0,8.0,Не,4.0,2.0,N,15.0,7.0,9.803975402501237
Н,1.0,1.0,O,18.0,8.0,Не,4.0,2.0,N,15.0,7.0,3.9812057833987637
Н,1.0,1.0,F,19.0,9.0,Не,4.0,2.0,O,16.0,8.0,8.115176599199913
D,2.0,1.0,F,19.0,9.0,Не,4.0,2.0,O,17.0,8.0,10.032191457001318
D,2.0,1.0,F,19.0,9.0,Be,9.0,4.0,C,12.0,6.0,0.2990096061039367
D,2.0,1.0,Ne,20.0,10.0,Н,1.0,1.0,Ne,21.0,10.0,4.536376267002197
D,2.0,1.0,Ne,21.0,10.0,Н,1.0,1.0,Ne,22.0,10.0,8.142189928101288
D,2.0,1.0,Ne,21.0,10.0,Не,4.0,2.0,F,19.0,9.0,6.467363536299672
Н,1.0,1.0,Na,23.0,11.0,Не,4.0,2.0,Ne,20.0,10.0,2.3781044372990436
D,2.0,1.0,Na,23.0,11.0,Не,4.0,2.0,Ne,21.0,10.0,6.914480704301241
D,2.0,1.0,Na,23.0,11.0,C,12.0,6.0,C,13.0,6.0,0.48530842610125546
D,2.0,1.0,Mg,24.0,12.0,Н,1.0,1.0,Mg,25.0,12.0,5.1064506562033785
D,2.0,1.0,Mg,25.0,12.0,Н,1.0,1.0,Mg,26.0,12.0,8.87341279660177
D,2.0,1.0,Mg,25.0,12.0,Не,4.0,2.0,Na,23.0,11.0,7.047684360604762
Н,1.0,1.0,Al,27.0,13.0,Не,4.0,2.0,Mg,24.0,12.0,1.5947178991991677
D,2.0,1.0,Al,27.0,13.0,Не,4.0,2.0,Mg,25.0,12.0,6.701168555402546
D,2.0,1.0,Si,28.0,14.0,Н,1.0,1.0,Si,29.0,14.0,6.253119893302937
D,2.0,1.0,Si,29.0,14.0,Н,1.0,1.0,Si,30.0,14.0,8.38996735870387
D,2.0,1.0,Si,29.0,14.0,Не,4.0,2.0,Al,27.0,13.0,6.012794415502867
Н,1.0,1.0,P,31.0,15.0,Не,4.0,2.0,Si,28.0,14.0,1.917014857801405
D,2.0,1.0,P,31.0,15.0,Не,4.0,2.0,Si,29.0,14.0,8.170134751104342
D,2.0,1.0,S,32.0,16.0,Н,1.0,1.0,S,33.0,16.0,6.417994349001674
D,2.0,1.0,S,33.0,16.0,Н,1.0,1.0,S,34.0,16.0,9.196641249298409
D,2.0,1.0,S,33.0,16.0,Не,4.0,2.0,P,31.0,15.0,8.566951237698959
Н,1.0,1.0,Cl,35.0,17.0,Не,4.0,2.0,S,32.0,16.0,1.8657826822964125
D,2.0,1.0,Cl,35.0,17.0,Не,4.0,2.0,S,33.0,16.0,8.283777031298087
Н,1.0,1.0,Cl,37.0,17.0,Не,4.0,2.0,S,34.0,16.0,3.0301503072987543
Н,1.0,1.0,K,39.0,19.0,Не,4.0,2.0,Ar,36.0,18.0,1.2929138108011102
D,2.0,1.0,K,39.0,19.0,Н,1.0,1.0,K,40.0,19.0,5.573129200303811
D,2.0,1.0,K,39.0,19.0,C,12.0,6.0,Si,29.0,14.0,1.2342296825008816
Н,1.0,1.0,Ar,40.0,18.0,Не,4.0,2.0,Cl,37.0,17.0,1.5928549109958112
D,2.0,1.0,K,40.0,19.0,Н,1.0,1.0,K,41.0,19.0,7.87112514499313
D,2.0,1.0,K,40.0,19.0,Не,4.0,2.0,Ar,38.0,18.0,11.906357586194645
D,2.0,1.0,K,40.0,19.0,C,12.0,6.0,Si,30.0,14.0,4.0510678408973035
D,2.0,1.0,K,40.0,19.0,O,16.0,8.0,Mg,26.0,12.0,0.5626224363950314
Н,1.0,1.0,K,41.0,19.0,Не,4.0,2.0,Ar,38.0,18.0,4.035232441201515
Н,1.0,1.0,Ca,42.0,20.0,Не,4.0,2.0,K,39.0,19.0,0.1266831975954119
D,2.0,1.0,Ca,42.0,20.0,Н,1.0,1.0,Ca,43.0,20.0,5.70540136249474
D,2.0,1.0,Ca,42.0,20.0,Не,4.0,2.0,K,40.0,19.0,5.699812397899223
D,2.0,1.0,Ca,43.0,20.0,Н,1.0,1.0,Ca,44.0,20.0,8.911604054701456
D,2.0,1.0,Ca,43.0,20.0,Не,4.0,2.0,K,41.0,19.0,7.865536180397612
Н,1.0,1.0,Sc,45.0,21.0,Не,4.0,2.0,Ca,42.0,20.0,2.340844673308311
D,2.0,1.0,Sc,45.0,21.0,Не,4.0,2.0,Ca,43.0,20.0,8.046246035803051
D,2.0,1.0,Ti,46.0,22.0,Н,1.0,1.0,Ti,47.0,22.0,6.662045803204819
D,2.0,1.0,Ti,47.0,22.0,Н,1.0,1.0,Ti,48.0,22.0,9.395980986693758
D,2.0,1.0,Ti,47.0,22.0,Не,4.0,2.0,Sc,45.0,21.0,6.835303705789556
D,2.0,1.0,Ti,48.0,22.0,Н,1.0,1.0,Ti,49.0,22.0,5.92243948779651
D,2.0,1.0,Ti,49.0,22.0,Н,1.0,1.0,Ti,50.0,22.0,8.713195811404148
Н,1.0,1.0,V,50.0,23.0,Не,4.0,2.0,Ti,47.0,22.0,0.5859097889042459
D,2.0,1.0,V,50.0,23.0,Н,1.0,1.0,V,51.0,23.0,8.815660162399581
D,2.0,1.0,V,50.0,23.0,Не,4.0,2.0,Ti,48.0,22.0,9.981890775598004
Н,1.0,1.0,V,51.0,23.0,Не,4.0,2.0,Ti,48.0,22.0,1.1662306131984224
D,2.0,1.0,V,51.0,23.0,Не,4.0,2.0,Ti,49.0,22.0,7.088670100994932
D,2.0,1.0,Cr,52.0,24.0,Н,1.0,1.0,Cr,53.0,24.0,5.719373774001724
D,2.0,1.0,Cr,52.0,24.0,Не,4.0,2.0,V,50.0,23.0,4.515883396801655
D,2.0,1.0,Cr,53.0,24.0,Н,1.0,1.0,Cr,54.0,24.0,7.497596010900452
D,2.0,1.0,Cr,53.0,24.0,Не,4.0,2.0,V,51.0,23.0,7.612169785199512
Н,1.0,1.0,Cr,54.0,24.0,Не,4.0,2.0,V,51.0,23.0,0.11457377429906046
Н,1.0,1.0,Mn,55.0,25.0,Не,4.0,2.0,Cr,52.0,24.0,2.5727867042005528
D,2.0,1.0,Mn,55.0,25.0,Не,4.0,2.0,Cr,53.0,24.0,8.292160478202277
D,2.0,1.0,Fe,56.0,26.0,Н,1.0,1.0,Fe,57.0,26.0,5.41663819149835
D,2.0,1.0,Fe,57.0,26.0,Н,1.0,1.0,Fe,58.0,26.0,7.823618945898488
D,2.0,1.0,Fe,57.0,26.0,Не,4.0,2.0,Mn,55.0,25.0,8.233476349902048
Н,1.0,1.0,Fe,58.0,26.0,Не,4.0,2.0,Mn,55.0,25.0,0.4098574040035601
Н,1.0,1.0,Co,59.0,27.0,Не,4.0,2.0,Fe,56.0,26.0,3.2415994679977302
D,2.0,1.0,Co,59.0,27.0,Не,4.0,2.0,Fe,57.0,26.0,8.65823765949608
D,2.0,1.0,Ni,60.0,28.0,Н,1.0,1.0,Ni,61.0,28.0,5.59921103509987
D,2.0,1.0,Ni,61.0,28.0,Н,1.0,1.0,Ni,62.0,28.0,8.365748512100254
D,2.0,1.0,Ni,61.0,28.0,Не,4.0,2.0,Co,59.0,27.0,8.71692178779631
D,2.0,1.0,Ni,61.0,28.0,C,12.0,6.0,V,51.0,23.0,1.0926425793004455
Н,1.0,1.0,Ni,62.0,28.0,Не,4.0,2.0,Co,59.0,27.0,0.3511732756960555
Н,1.0,1.0,Cu,63.0,29.0,Не,4.0,2.0,Ni,60.0,28.0,3.7576471993961604
D,2.0,1.0,Cu,63.0,29.0,Не,4.0,2.0,Ni,61.0,28.0,9.35685823449603
D,2.0,1.0,Cu,63.0,29.0,C,12.0,6.0,Cr,53.0,24.0,2.8373310285969637
D,2.0,1.0,Cu,63.0,29.0,O,16.0,8.0,Ti,49.0,22.0,0.8523171014894615
D,2.0,1.0,Zn,64.0,30.0,O,16.0,8.0,V,50.0,23.0,1.087053614697652
D,2.0,1.0,Zn,64.0,30.0,Si,29.0,14.0,Cl,37.0,17.0,0.801084925995383
Н,1.0,1.0,Cu,65.0,29.0,Не,4.0,2.0,Ni,62.0,28.0,4.343556988300406
Н,1.0,1.0,Zn,66.0,30.0,Не,4.0,2.0,Cu,63.0,29.0,1.560252617498918
D,2.0,1.0,Zn,66.0,30.0,Н,1.0,1.0,Zn,67.0,30.0,4.821413461591874
D,2.0,1.0,Zn,67.0,30.0,Н,1.0,1.0,Zn,68.0,30.0,7.974520990101155
D,2.0,1.0,Zn,67.0,30.0,Не,4.0,2.0,Cu,65.0,29.0,10.117888914202922
D,2.0,1.0,Zn,67.0,30.0,N,15.0,7.0,Cr,54.0,24.0,2.1089026424015174
Н,1.0,1.0,Zn,68.0,30.0,Не,4.0,2.0,Cu,65.0,29.0,2.143367924101767
Н,1.0,1.0,Ga,69.0,31.0,Не,4.0,2.0,Zn,66.0,30.0,4.523335349600529
Н,1.0,1.0,Ga,69.0,31.0,C,12.0,6.0,Fe,58.0,26.0,0.21890111349057406
D,2.0,1.0,Ga,69.0,31.0,Не,4.0,2.0,Zn,67.0,30.0,9.344748811199679
D,2.0,1.0,Ga,69.0,31.0,C,13.0,6.0,Fe,58.0,26.0,2.9416583677957533
D,2.0,1.0,Ga,69.0,31.0,O,17.0,8.0,Cr,54.0,24.0,1.6496760511072353
D,2.0,1.0,Ga,69.0,31.0,Ne,21.0,10.0,Ti,50.0,22.0,1.066560744511662
D,2.0,1.0,Ga,69.0,31.0,Ne,22.0,10.0,Ti,49.0,22.0,0.49555486120516434
D,2.0,1.0,Ga,69.0,31.0,Mg,25.0,12.0,Ca,46.0,20.0,0.23753099550958723
D,2.0,1.0,Ge,70.0,32.0,C,13.0,6.0,Co,59.0,27.0,1.8024410835059825
D,2.0,1.0,Ge,70.0,32.0,N,14.0,7.0,Fe,58.0,26.0,1.8303859065053985
D,2.0,1.0,Ge,70.0,32.0,N,15.0,7.0,Fe,57.0,26.0,2.7730579357012175
D,2.0,1.0,Ge,70.0,32.0,O,17.0,8.0,Mn,55.0,25.0,1.2025588831020286
D,2.0,1.0,Ge,70.0,32.0,Ne,21.0,10.0,V,51.0,23.0,0.6073341532173799
D,2.0,1.0,Ge,70.0,32.0,Na,23.0,11.0,Ti,49.0,22.0,0.7815235499147093
Н,1.0,1.0,Ga,71.0,31.0,Не,4.0,2.0,Zn,68.0,30.0,4.840974837701651
D,2.0,1.0,Ga,71.0,31.0,Mg,25.0,12.0,Ca,48.0,20.0,0.6883741399215069
Н,1.0,1.0,Ge,72.0,32.0,Не,4.0,2.0,Ga,69.0,31.0,1.510883430193644
D,2.0,1.0,Ge,72.0,32.0,Н,1.0,1.0,Ge,73.0,32.0,4.656539005896775
D,2.0,1.0,Ge,73.0,32.0,Н,1.0,1.0,Ge,74.0,32.0,7.905590426715207
D,2.0,1.0,Ge,73.0,32.0,Не,4.0,2.0,Ga,71.0,31.0,9.332639387896052
D,2.0,1.0,Ge,73.0,32.0,B,11.0,5.0,Ni,64.0,28.0,0.18443583181942813
D,2.0,1.0,Ge,73.0,32.0,Al,27.0,13.0,Ca,48.0,20.0,3.3198449724150123
Н,1.0,1.0,Ge,74.0,32.0,Не,4.0,2.0,Ga,71.0,31.0,1.4270489611808443
Н,1.0,1.0,Se,74.0,34.0,C,12.0,6.0,Cu,63.0,29.0,0.6334159879916115
Н,1.0,1.0,Se,74.0,34.0,O,16.0,8.0,Co,59.0,27.0,2.0213421969965566
Н,1.0,1.0,Se,74.0,34.0,Mg,24.0,12.0,V,51.0,23.0,1.1662306131911464
Н,1.0,1.0,Se,74.0,34.0,Al,27.0,13.0,Ti,48.0,22.0,0.737743327190401
Н,1.0,1.0,Se,74.0,34.0,Si,30.0,14.0,Sc,45.0,21.0,0.554238989498117
Н,1.0,1.0,Se,74.0,34.0,P,31.0,15.0,Ca,44.0,20.0,0.9519869701907737
Н,1.0,1.0,Se,74.0,34.0,S,34.0,16.0,K,41.0,19.0,0.5356091074936558
Н,1.0,1.0,Se,74.0,34.0,Cl,37.0,17.0,Ar,38.0,18.0,1.5406912413891405
D,2.0,1.0,Se,74.0,34.0,C,13.0,6.0,Cu,63.0,29.0,3.3561732423113426
D,2.0,1.0,Se,74.0,34.0,N,14.0,7.0,Ni,62.0,28.0,4.624868206505198
